9-Digit NDC,Strength per Unit,MME conversion factor
004060596,80,1.5
004061009,5,3
004061010,10,3
004061236,2.5,0
004062224,2,11
004063243,2,4
004063244,4,4
004063249,8,4
004063308,8,4
004063312,12,4
004063316,16,4
004063332,32,4
004067171,50,0.1
004068510,10,1.5
004068515,15,1.5
004068520,20,1.5
004068530,30,1.5
004068553,1,1.5
004068556,1,1.5
004068557,20,1.5
004068558,20,1.5
004068668,20,1.5
004069000,100,7.2
004069012,12,7.2
004069025,25,7.2
004069037,37.5,7.2
004069050,50,7.2
004069062,62.5,7.2
004069075,75,7.2
004069100,100,7.2
004069112,12,7.2
004069125,25,7.2
004069150,50,7.2
004069175,75,7.2
004069202,200,0.13
004069204,400,0.13
004069206,600,0.13
004069208,800,0.13
004069212,1200,0.13
004069216,1600,0.13
004091176,25,0.1
004091178,50,0.1
004091179,75,0.1
004091180,100,0.1
004091181,50,0.1
004091201,100,0.1
004091203,50,0.1
004091253,50,0.1
004091254,50,0.1
004091255,50,0.1
004091256,100,0.1
004091276,50,0
004091283,1,4
004091304,4,4
004091312,2,4
004091362,25,0.1
004091418,50,0.1
004091623,1,7
004091626,2,7
004091920,30,0.37
004091941,30,0.37
004092172,10,4
004092266,500,0
004092540,4,4
004092552,1,4
004092634,10,4
004093356,2,4
004093365,2,4
004093380,50,0
004093382,50,0
004093459,2,4
004096030,10,0.1
004099093,50,0
004099094,50,0
004268245,2.4,0.15
004268455,1,1
004268457,0.4,1
004407020,30,0.15
004407026,30,0.15
004407435,2.5,0
004407605,5,1
004407611,7.5,1
004408570,50,0.1
004408571,50,0.1
004560677,30,0.15
004565200,5,1.5
004720011,2,0.15
004720028,0.4,1
004720077,1,1
004720802,0.4,1
004721030,1,1
004721419,2.4,0.15
004721421,0,0.15
004721507,,0.15
004721627,2,0.15
004721629,2,0.15
004860771,0.67,1
005271170,2.5,0
005271312,30,0.15
005271353,2,4
005271354,4,4
005271355,8,4
005271426,20,1.5
005271669,5,1.5
005271671,10,1.5
005271698,30,0.15
005271699,60,0.15
005271727,15,0.15
005271774,5,1.5
005273236,2,11
005273237,3,11
005361800,2,0.15
005363866,2,4
005363925,30,0.15
005363942,30,0.15
005364239,30,0.15
005365911,5,1
005550303,30,0.15
005550305,15,0.15
005550381,50,0.1
005550382,100,0.1
005550392,100,0.1
005550658,5,1.5
005550778,5,1.5
005551080,200,0.13
005551117,10,4
005740159,10,1
