9-Digit NDC,Strength per Unit,MME conversion factor
590110815,15,1.5
590110830,30,1.5
590110860,60,1.5
593990112,10,7
596300911,10,1
596300912,5,1
596300913,7.5,1
597230102,10,7
597410262,1,1
597621061,2.5,0
599115944,10,7
602580261,2,0.15
602580876,1,1
603460059,30,0.15
603460738,30,0.15
603460877,2.4,0.15
604290500,37.5,0.1
604290516,5,1.5
604290517,10,1.5
604290519,15,1.5
604290520,20,1.5
604290521,30,1.5
604290570,50,0.37
604290583,100,0.1
604290584,200,0.1
604290585,300,0.1
604290588,50,0.1
604290590,5,1
604290591,7.5,1
604290592,10,1
604320045,2,0.15
604320088,2,0.15
604320112,1,1
604320245,2.4,0.15
604320455,1,1
604320541,2,0.15
604320606,2,0.15
604320607,2,0.15
604320706,1,1.5
605050171,50,0.1
605050813,10,7
605052644,37.5,0.1
605057001,25,7.2
605057002,50,7.2
605057003,75,7.2
605057004,100,7.2
605057006,25,7.2
605057007,50,7.2
605057008,75,7.2
605057009,100,7.2
605057010,12,7.2
605057011,25,7.2
605057012,50,7.2
605057013,75,7.2
605057014,100,7.2
605057080,12,7.2
605057081,25,7.2
605057082,50,7.2
605057083,75,7.2
605057084,100,7.2
605057085,37.5,7.2
605057086,62.5,7.2
605057087,87.5,7.2
606870116,5,1.5
606870148,10,3
606870406,1,1.5
606870407,7.5,1
606870417,0.5,1
606870418,10,1
606870566,1,4
606870569,2.5,0
606870579,2,4
606870590,4,4
606870604,30,0.15
606870615,60,0.15
606870642,5,1.5
607600223,5,1.5
607600377,50,0.1
607600922,37.5,0.1
607930195,5,1.5
607930525,5,1.5
607930526,7.5,1.5
608460901,5,1
608460902,10,1
609510310,4.8355,1.5
609510602,5,1.5
609510610,4.88,1.5
609510700,7.5,1.5
609510701,2.5,1.5
609510710,80,1.5
609510712,10,1.5
609510794,5,3
609510795,10,3
609510796,7.5,1.5
609510797,10,1.5
615530002,10,0
615530006,10,0
615530095,2,0
615530102,2,0
615530103,2,0
615530104,2,0
615530107,5,0
615530109,5,0
615530111,10,0
615530112,10,0
615530113,10,0
615530114,10,0
615530115,4,0
615530116,20,0
615530118,50,0
615530121,2,0
615530122,2,0
615530123,2,0
615530124,2,0
615530128,4,0
615530129,2,0
615530130,4,0
615530131,2,0
615530132,2,0
615530135,5,0
615530136,5,0
615530137,5,0
615530138,5,0
615530139,5,0
615530140,5,0
615530141,5,0
615530142,10,0
615530148,2,0
615530153,50,0
615530155,10,0
615530161,0.2,4
615530162,0.2,4
615530163,0.2,4
615530165,1,4
615530166,1,4
615530167,1,4
615530168,0.2,4
615530170,10,0.1
615530174,10,0
615530176,2,0
615530180,3,0
615530194,4,0
615530195,2.5,0
615530201,2,0
615530203,10,0
615530204,2,0
615530205,2,0
615530206,0.2,4
615530207,0.2,4
615530208,0.2,4
615530209,0.2,4
615530210,2.5,0
615530217,3,0
615530219,2.5,0
615530223,2,0
615530236,25,0
615530237,3,0
615530239,3,0
615530240,2,0
615530242,1,4
615530246,2,0
615530247,5,0
615530256,5,0
615530261,2,0
615530264,2,0
615530266,4,0
615530267,4,0
615530273,50,0
615530280,2,0
615530282,2,0
615530284,3,0
615530285,3,0
615530288,10,0
615530291,10,0
615530293,10,0
615530296,2,0
615530298,10,0
615530300,0.05,0
615530303,50,0
615530306,50,0
615530318,5,0
615530319,0.2,4
615530325,0.2,4
615530339,5,0
615530350,50,0
615530352,0.5,4
615530424,10,0
615530431,50,0
615530439,20,0
615530442,2,0
615530443,2,0
615530450,2,0
615530454,0.5,4
615530461,50,0
615530462,50,0
615530466,1,4
615530467,10,0
615530468,2,0
615530475,50,0
615530476,1,4
615530478,0.01,4
615530479,5,0
615530480,0.01,4
615530481,0.01,4
615530483,0.005,4
615530485,10,0
615530486,10,0
615530487,10,0
615530488,10,4
615530491,2,0
615530493,1,4
615530502,0.2,4
615530505,0.5,4
615530510,1,4
615530515,15,0
615530521,10,0
615530525,50,0
615530527,50,0
615530530,25,0
615530536,0.3,4
615530577,0.4,0
615530601,1,4
615530605,20,0
615530606,50,0
615530611,10,0.1
615530612,0.2,4
615530613,2,0
615530624,0.2,4
615530626,2,0
615530627,0.2,4
615530631,0.5,4
615530637,1,4
615530642,2.5,0
615530646,4,0
615530662,10,0
615530664,10,0
615530665,10,0
615530668,20,0
615530669,20,0
615530670,50,0
615530671,50,0
615530672,50,0
615530673,50,0
615530674,10,0.1
615530679,0.1,4
615530680,0.2,4
615530681,0.2,4
615530683,1,4
615530684,2,4
615530687,2,0
615530689,2,0
615530690,2,4
615530691,0.4,4
615530694,0.1,4
615530695,2,0
615530702,0.2,4
615530703,2,0
615530705,0.5,4
615530707,2,0
615530710,1,4
615530721,2,0
615530727,2,0
615530730,25,0
615530732,5,0
615530733,0.01,4
615530791,10,0
615530794,40,0
615530795,50,0
615530802,2,0
615530804,2,0
615530806,5,0
615530807,5,0
615530810,5,0
615530813,5,0
615530814,10,0
615530816,10,0
615530817,10,0
615530823,1,4
615530830,0.2,4
615530832,0.2,4
615530837,3,0
615530838,0.4,4
615530839,0.5,4
615530844,2,0
615530845,2,0
615530851,10,0
615530862,2,0
615530863,2,0
615530869,2,0
615530870,2,0
615530871,2,0
615530874,5,0
615530875,5,0
615530876,5,0
615530879,2,0
615530880,2,0
615530883,2,0
615530886,5,0
615530890,0.2,4
615530903,1,4
615530909,0.01,4
615530915,5,0
615530916,10,0
615530919,1,0
615530945,5,0
615530950,0.1,4
615530962,1,4
615530965,0.5,4
615530978,0.01,4
615530989,1,4
615530992,0.02,4
615530998,1,0
615700081,5,1
615700102,5,1
616210430,30,0
617030243,10,4
617030425,10,4
617860421,30,0.15
619190208,7.5,1
619190229,50,0.1
619190405,2.5,0
619190432,5,1.5
619190437,10,1.5
619190484,30,0.15
619190524,5,1.5
619190583,150,0.1
619190597,50,0.1
619190612,10,1.5
619190618,5,1
619190659,15,1.5
619190818,100,0.1
619190820,15,1.5
619190828,10,1
619190871,10,1.5
619190893,200,0.1
620220910,1,1
620370523,60,0.15
620370524,7.5,1
620370567,10,1
621750490,2,1
622952008,1,4
625420301,2,1
625590151,1,1.5
625590152,20,1.5
625590153,10,1
625590167,5,1.5
625590490,2.5,0
625840559,50,0.1
625840738,5,1
631640670,4,0.4
631640680,20,0.4
631870106,30,0.15
631870375,5,1
631870585,37.5,0.1
631870658,7.5,1
631870778,10,1
631870815,30,0.15
633040203,10,1
633040400,10,1.5
633040683,40,1.5
633040684,80,1.5
633230723,1,0
633230724,2,0
633230725,5,0
633230806,50,0
633230808,50,0
633230817,50,0
633230851,10,4
633230852,1,4
633230853,2,4
633230854,4,4
634590502,200,0.13
634590504,400,0.13
634590506,600,0.13
634590508,800,0.13
634590512,1200,0.13
634590516,1600,0.13
634590541,100,0.13
634590542,200,0.13
634590544,400,0.13
634590546,600,0.13
634590548,800,0.13
634810042,5,1
634810121,4.8355,1.5
634810127,5,1.5
634810135,4.5,1.5
634810234,1,1
634810434,5,3
634810436,10,3
634810437,15,3
634810438,20,3
634810522,7.5,3
634810533,400,0.13
634810553,15,3
634810571,30,3
634810612,5,3
634810613,10,3
634810617,20,3
634810621,7.5,1.5
634810622,10,1.5
634810623,5,1.5
634810624,1,3
634810627,2.5,1.5
634810628,7.5,1.5
634810629,10,1.5
634810668,5,1
634810669,7.5,1
634810674,10,3
634810693,40,3
634810698,10,1
634810812,5,3
634810813,7.5,3
634810814,10,3
634810815,15,3
634810816,20,3
634810817,30,3
634810818,40,3
634810907,5,3
636291174,1,1.5
636291177,5,1
636291179,5,1
636291180,7.5,1
636291181,7.5,1
636291183,10,1
636291184,10,1
636291185,15,0.15
636291186,30,0.15
636291187,15,0.15
636291188,30,0.15
636291189,60,0.15
636291190,60,0.15
636291907,10,1.5
636291908,10,1.5
636291909,5,1.5
636291910,5,1.5
636291911,7.5,1.5
636291912,7.5,1.5
636291925,10,3
636291926,5,3
636291927,15,3
636291928,15,3
636291929,30,3
636291930,30,3
636291933,2.5,0
636291934,2.5,0
636291938,10,1
636291939,5,1
636291940,7.5,1
636291941,0.5,1
636291942,10,1.5
636291943,7.5,1.5
636291965,10,1
636292093,2,11
636292104,1,1.5
636292187,10,1.5
636292188,5,1.5
636292189,5,1.5
636292190,7.5,1.5
636292292,5,1
636292293,5,1
636292294,5,1
636292295,7.5,1
636292296,7.5,1
636292297,7.5,1
636292298,10,1
636292299,10,1
636292300,10,1
636292303,2,1
636292304,2,1
636292308,5,1
636292309,7.5,1
636292310,10,1
636292468,5,1
636292469,7.5,1
636292470,10,1
636292471,10,1
636292486,2,0.15
636292487,2,0.15
636292532,3,4
636292952,30,0.15
636293774,40,1.5
636294009,2.4,0.15
636294177,40,3
636295434,10,1
636297748,10,1.5
636297821,5,1
636297823,10,1
636298319,200,0.1
636298323,100,0.1
636298324,300,0.1
636298435,30,1
636298499,5,1
636298526,15,1.5
636298885,5,1
636298886,10,1
636298888,5,1.5
636298889,15,1.5
636299175,2.5,0
636299176,2.5,0
637170875,1,1
637170876,1,1
637170877,1,1
637390004,30,0.15
637390130,5,1
637390177,10,1.5
637390217,10,1.5
637390275,2,4
637390326,5,1
637390365,5,1.5
637390532,5,1
637390557,7.5,1
637390636,7.5,1.5
637390671,50,0.1
637390704,5,1
637390709,5,1.5
637390739,10,1.5
637390791,4,4
638740255,,1
638740532,50,0.1
643760435,2,0.15
643760611,32,0.25
643760640,0.5,1
643760643,10,1
643760648,5,1
643760649,7.5,1
647200224,5,1.5
647200225,15,1.5
647200226,30,1.5
647200258,5,3
647200259,10,3
648960695,5,3
648960696,7.5,3
648960697,10,3
648960698,15,3
648960699,20,3
648960700,30,3
648960701,40,3
649500205,5,1
649500340,0.5,1
649500342,1,1
649500343,0.5,1
649500353,20,1.5
649500354,1,1.5
649500901,5,1.5
649800176,16,0.15
651620033,30,0.15
651620047,5,1.5
651620048,10,1.5
651620049,15,1.5
651620050,20,1.5
651620051,30,1.5
651620115,7.5,1
651620127,50,0.1
651620203,5,1.5
651620204,10,1.5
651620207,7.5,1.5
651620301,2.5,0
651620617,37.5,0.1
651620627,50,0.1
651620675,5,1
651620694,2,0.15
651620696,10,1
652240310,10,1
652240315,15,1
652240320,20,1
652240330,30,1
652240340,40,1
652240350,50,1
652240910,10,1
652240915,15,1
652240930,30,1
652240940,40,1
652240950,50,1
652430300,50,0.1
652430383,50,0.1
652930011,40,7.2
655970501,5,1.5
655970502,15,1.5
655970503,30,1.5
658620922,37.5,0.1
658930850,20,1.5
662670563,50,0.1
664790580,5,1.5
664790581,15,1.5
664790582,30,1.5
664790583,1,1.5
664790584,20,1.5
664840802,10,1
664840803,15,1
664840804,20,1
664840805,30,1
664840806,40,1
664840807,50,1
664841803,32,4
664841900,10,1.5
664842503,10,1.5
664842504,10,1.5
664842512,20,1.5
664842513,20,1.5
664842522,40,1.5
664842523,40,1.5
664842901,5,1
664842903,7.5,1
664842905,10,1
664842907,2.5,1
664842909,5,1
664842911,7.5,1
664842913,10,1
665910923,20,1.5
665940499,1.8,0.15
666472000,5,0
666472001,10,0
666472003,50,0
666472011,0.5,4
666472012,1,4
666472071,10,0
666472101,10,0
666472103,50,0
666472110,0.2,4
666472171,10,0
666472173,5,0
666472174,20,0
666472181,2,0
666472182,2,0
666472210,0.2,4
666472211,0.5,4
666472212,1,4
666472271,10,0
666472371,10,0
666472503,50,0
666472580,1.5,0
666890004,0.5,1
666890005,0.5,1
666890023,0.5,1
666890024,1,1.5
666890025,20,1.5
666890401,1,1.5
666890403,1,1.5
668690564,44,0.1
669920840,16,0.25
670460928,5,1
672530350,30,0.15
672960470,5,1
674570198,,0
674570912,1,0
674570913,2,0
674570914,5,0
675440002,30,0.15
677670120,25,7.2
677670121,50,7.2
677670122,75,7.2
677670123,100,7.2
678770322,37.5,0.1
680250053,100,0.1
680250055,200,0.1
680250056,300,0.1
680250071,100,0.1
680250072,200,0.1
680250073,300,0.1
680710224,5,1.5
680710286,7.5,1.5
680710287,37.5,0.1
680710605,20,3
680714801,5,1
680715142,50,0.1
680840048,10,1.5
680840100,10,1
680840139,37.5,0.1
680840144,7.5,1
680840145,7.5,1
680840184,15,1.5
680840185,30,1.5
680840353,10,1
680840354,5,1.5
680840355,5,1.5
680840362,10,1
680840368,5,1
680840372,30,0.15
680840373,60,0.15
680840378,10,1.5
680840379,7.5,1.5
680840423,2,4
680840472,4,4
680840496,37.5,0.1
680840601,7.5,1
680840699,7.5,1.5
680840710,10,1.5
680840798,8,4
680840808,50,0.1
680840825,37.5,0.1
680840828,20,1.5
680840841,7.5,1
680840852,5,1
680840863,7.5,1
680840884,10,1
680840895,5,1
680840963,100,0.1
680840968,10,1.5
680840975,15,1.5
680840983,30,1.5
680940005,15,1.5
680940013,5,1.5
680940714,0.5,1
680940760,6,0.15
680940761,6,0.15
680940801,20,1.5
680940852,8,4
681340402,5,0.1
681800383,100,0.1
681800384,200,0.1
681800385,300,0.1
681800697,100,0.1
681800698,200,0.1
681800699,300,0.1
683080020,20,1.5
683080108,5,1.5
683080111,15,1.5
683080112,30,1.5
683080145,5,1.5
683080312,30,0.15
683080405,5,1.5
683080475,7.5,1.5
683080480,10,1.5
683080505,5,1.5
683080840,2.5,1.5
683080841,5,1.5
683080842,7.5,1.5
683080843,10,1.5
683080845,4.8355,1.5
683820319,50,0.1
683820334,37.5,0.1
683820793,5,1.5
683820794,10,1.5
683820795,15,1.5
683820796,20,1.5
683820797,30,1.5
684530400,0.5,1
684530825,50,0.1
684530911,10,1
684530913,7.5,1
684620204,5,1.5
684620347,20,1.5
684620348,1,1.5
685520701,50,0.1
687740161,10,1.5
687740163,40,1.5
687740164,80,1.5
690360130,2,0.15
691500020,50,0.1
691660523,0.5,1
692381993,30,0.15
692382294,10,1.5
692382296,20,1.5
692382298,40,1.5
692382300,80,1.5
693150248,2,0.15
693150910,2.5,0
693440113,5,1.5
693440213,7.5,1.5
693670272,2,0.15
693740523,10,0
693740525,2,0
693740526,2,0
693740529,0.2,4
693740530,2,0
693740978,50,0
693740983,1,4
694420480,2.94,0.15
695430136,50,0.1
695430251,2,0.15
695430252,2,0.15
695430253,2,0.15
695430276,2,0.15
695430412,2,11
695430417,2,11
696540480,2.94,0.15
698650210,50,0.4
698650220,75,0.4
698650230,100,0.4
698650240,50,0.4
698650245,100,0.4
698650250,150,0.4
698650260,200,0.4
698650265,250,0.4
700040200,50,0
700040202,10,0
700040203,20,0
700040205,25,0
700040211,50,0
700040222,50,0
700040229,10,0
700040231,2,0
700040244,2,0
700040251,5,0
700040253,2,0
700040254,2,0
700040260,2,0
700040264,2,0
700040289,5,0
700040300,0.2,4
700040302,0.5,4
700040303,1,4
700040322,0.2,4
700040323,1,4
700921092,10,0
700921093,10,0
700921094,20,0
700921099,50,0
700921100,50,0
700921102,2,0
700921103,2,0
700921104,2,0
700921105,2,0
700921108,2,0
700921111,0.2,4
700921112,0.2,4
700921113,0.2,4
700921114,0.2,4
700921115,0.2,4
700921116,0.2,4
700921117,1,4
700921118,1,4
700921160,2,0
700921202,2,0
700921207,2,0
700921223,50,0
700921225,2,0
700921250,10,0
700921255,2,0
700921259,2,0
700921269,2,0
700921274,10,0
700921286,0.2,4
700921287,0.2,4
700921290,0.5,4
700921293,1,4
700921400,10,0
700921405,0.5,4
700921415,50,0
700921436,4,0
700921440,2,0
700921441,2,0
700921444,5,0
700921453,2,0
700921454,50,0
700921456,50,0
700921494,50,0
700921495,50,0
700921497,50,0
700921499,2,0
700921500,2,0
700921501,2,0
700921504,2,0
700921505,50,0
700921506,10,0
700921509,50,0
700921546,1,4
700927108,2,0
700927207,2,0
700927225,2,0
700927259,2,0
700927440,2,0
700927441,2,0
700929111,0.2,4
700929113,0.2,4
700929114,0.2,4
700929115,0.2,4
700929116,0.2,4
700929117,1,4
700929118,1,4
700929202,2,0
700929225,2,0
700929250,10,0
700929269,2,0
700929286,0.2,4
700929287,0.2,4
700929290,0.5,4
700929293,1,4
700929400,10,0
700929546,1,4
700929645,2,0
701660492,20,1.5
703620720,16,0.25
703620730,16,0.25
704080185,2,0.15
705180118,50,0.1
705180212,30,0.15
705180258,50,0.1
705182628,30,0.15
705182989,30,0.15
707520136,1,1.5
707520139,2,0.15
709340461,50,0.1
709340555,5,1
709340799,30,0.15
710930119,50,0.1
711396030,50,0
711397010,1,4
711397777,1,4
712050303,50,0.1
712050329,5,1.5
712050363,2,0.15
712050389,50,0.1
712050463,100,0.1
712050468,200,0.1
712050486,10,1.5
712050569,300,0.1
712050625,37.5,0.1
712050909,2.5,0
712665010,10,0
712690040,54.3,0.15
712862001,10,0
712862003,50,0
712862010,0.2,4
712862011,0.5,4
712862012,1,4
712862071,10,0
712862073,5,0
712862074,20,0
712862081,2,0
712862082,2,0
713350151,37.5,0.1
713350194,30,0.15
713350265,2,4
713350303,4,4
713350336,60,0.15
713350521,50,0.1
713350619,37.5,0.1
713350677,30,1.5
713350723,4,4
713350981,5,1.5
713351080,15,1.5
713351216,5,1.5
713351248,10,1
713351319,50,0.1
713351413,15,1.5
713351414,30,1.5
713351417,5,1
713351418,10,1
713351419,7.5,1
713351420,10,1.5
713351421,5,1.5
713351422,10,1.5
713351472,7.5,1.5
713351498,50,0.1
713351675,100,0.1
713351676,200,0.1
713351818,30,0.15
713351959,7.5,1.5
713351970,7.5,1
714490013,50,0
714490018,1,4
714490019,20,0
715000001,100,0.18
715000002,200,0.18
715000004,400,0.18
715000006,600,0.18
715000012,1200,0.18
715000016,1600,0.18
715000110,100,0.16
715000130,300,0.16
715000140,400,0.16
715110301,5,0.1
715910025,25,0.1
715910050,50,0.1
716100006,50,0.1
716100392,50,0.1
716100398,50,0.1
716100566,2.5,0
719300019,5,1
719300020,7.5,1
719300021,10,1
719300022,1,1.5
719300023,20,1.5
719300027,0.5,1
719300042,5,1
719300043,7.5,1
719300044,10,1
719300045,5,1.5
719300046,7.5,1.5
719300047,10,1.5
719300054,15,0.15
719300055,30,0.15
719300056,60,0.15
719930300,16,0.25
721890154,200,0.1
721890191,7.5,1
721890255,10,1.5
721890256,7.5,1.5
721890257,5,1.5
721890311,50,0.1
721890336,2.5,0
721890343,5,1
722450193,2.5,1.5
722450681,5,1.5
722450682,7.5,1.5
722450683,10,1.5
725720170,50,0
725720171,50,0
725720172,50,0
728650109,2.5,1
728650110,5,1
728650111,7.5,1
728650112,10,1
728650113,2.5,1.5
728650114,5,1.5
728650115,7.5,1.5
728650116,10,1.5
728650128,15,1.5
728650129,30,1.5
728650130,5,3
728650131,10,3
728650168,8,4
728650169,12,4
728650170,16,4
728650171,32,4
728870193,2.5,1.5
728870648,2,1.5
728870681,5,1.5
728870682,7.5,1.5
728870683,10,1.5
728880080,50,0.1
731770102,10,0
731770103,50,0
759018002,10,0
759018038,3,0
760140001,0.5,1
760450009,1,4
760450010,2,4
760450011,4,4
760450121,0.2,4
761810001,0.5,1
762180708,150,0.1
762370253,50,0.1
763850107,2.5,0
764200127,50,0.1
764200133,5,1
764390136,50,0.1
764390252,2,0.15
764390253,2,0.15
798800600,0.66,1
